鄉鎮市區,交易標的,土地移轉總面積平方公尺,移轉層次,總樓層數,建物型態,主要用途,主要建材,建物移轉總面積平方公尺,建物現況格局.房,建物現況格局.廳,建物現況格局.衛,建物現況格局.隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積.平方公尺.,車位總價元,主建物面積,附屬建物面積,陽台面積,電梯
永康區,土地,253.28,,,其他,,,0.0,0,0,0,1,無,7674384,30300,,0.0,0,0.0,0.0,0.0,0
永康區,土地,164.99,,,其他,,,0.0,0,0,0,1,無,5857145,35500,,0.0,0,0.0,0.0,0.0,0
仁德區,房地(土地+建物),5.02,四層,四層,華廈(10層含以下有電梯),辦公用,鋼筋混凝土造,14.15,1,1,1,1,有,568000,40141,,0.0,0,5.23,0.9,1.91,1
歸仁區,土地,15.08,,,其他,,,0.0,0,0,0,1,無,296400,19655,,0.0,0,0.0,0.0,0.0,0
麻豆區,土地,40.84,,,其他,,,0.0,0,0,0,1,無,130000,3183,,0.0,0,0.0,0.0,0.0,0
下營區,土地,471.0,,,其他,,,0.0,0,0,0,1,無,1283000,2724,,0.0,0,0.0,0.0,0.0,0
安定區,土地,1200.0,,,其他,,,0.0,0,0,0,1,無,5200000,4333,,0.0,0,0.0,0.0,0.0,0
新市區,土地,65.73,,,其他,,,0.0,0,0,0,1,無,8500000,129317,,0.0,0,0.0,0.0,0.0,0
下營區,土地,2000.0,,,其他,,,0.0,0,0,0,1,無,5800000,2900,,0.0,0,0.0,0.0,0.0,0
大內區,土地,394.75,,,其他,,,0.0,0,0,0,1,無,4500000,11400,,0.0,0,0.0,0.0,0.0,0
六甲區,土地,102.12,,,其他,,,0.0,0,0,0,1,無,2300000,22523,,0.0,0,0.0,0.0,0.0,0
西港區,土地,86.84,,,其他,,,0.0,0,0,0,1,無,1217500,14020,,0.0,0,0.0,0.0,0.0,0
北門區,土地,2024.0,,,其他,,,0.0,0,0,0,1,無,1619200,800,,0.0,0,0.0,0.0,0.0,0
將軍區,房地(土地+建物),68.0,全,三層,透天厝,住商用,鋼筋混凝土加強磚造,144.64,2,2,3,1,無,3000000,20741,,0.0,0,135.34,0.0,9.3,0
東山區,土地,8104.0,,,其他,,,0.0,0,0,0,1,無,2560000,316,,0.0,0,0.0,0.0,0.0,0
白河區,土地,1686.0,,,其他,,,0.0,0,0,0,1,無,400000,237,,0.0,0,0.0,0.0,0.0,0
東山區,土地,4683.0,,,其他,,,0.0,0,0,0,1,無,1000000,214,,0.0,0,0.0,0.0,0.0,0
白河區,土地,32.0,,,其他,,,0.0,0,0,0,1,無,1194240,37320,,0.0,0,0.0,0.0,0.0,0
安平區,土地,82.83,,,其他,,,0.0,0,0,0,1,無,2756600,33280,,0.0,0,0.0,0.0,0.0,0
柳營區,土地,800.0,,,其他,,,0.0,0,0,0,1,無,480000,600,,0.0,0,0.0,0.0,0.0,0
南區,房地(土地+建物),109.0,全,三層,透天厝,住商用,ＲＣ造,197.95,4,2,3,1,無,9530000,48143,,0.0,0,175.83,1.24,20.88,0
安南區,土地,491.32,,,其他,,,0.0,0,0,0,1,無,22293000,45374,,0.0,0,0.0,0.0,0.0,0
東區,房地(土地+建物),25.66,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,99.16,3,2,2,1,無,4150000,41852,,0.0,0,75.48,0.0,8.23,0
南區,房地(土地+建物),66.0,全,二層,透天厝,住家用,加強磚造,81.48,4,2,1,1,無,6000000,73638,,0.0,0,81.48,0.0,0.0,0
東山區,土地,83.0,,,其他,,,0.0,0,0,0,1,無,1506450,18150,,0.0,0,0.0,0.0,0.0,0
後壁區,土地,6900.0,,,其他,,,0.0,0,0,0,1,無,8625000,1250,,0.0,0,0.0,0.0,0.0,0
麻豆區,土地,64.36,,,其他,,,0.0,0,0,0,1,無,1100000,17091,,0.0,0,0.0,0.0,0.0,0
新市區,土地,206.97,,,其他,,,0.0,0,0,0,1,無,9419638,45512,,0.0,0,0.0,0.0,0.0,0
新化區,土地,4000.0,,,其他,,,0.0,0,0,0,1,無,2690000,673,,0.0,0,0.0,0.0,0.0,0
