土地移轉總面積平方公尺,建物移轉總面積平方公尺,建物現況格局_房,建物現況格局_廳,建物現況格局_衛,建物現況格局_隔間,總價元,單價元平方公尺,車位移轉總面積_平方公尺,車位總價元,主建物面積,附屬建物面積,陽台面積,電梯,ifor,交易標的,建物型態,主要用途,有無管理組織,車位類別,city,x1
22.5,0.0,0.0,0.0,0.0,1.0,2.161013e6,96045.0,0.0,0.0,0.0,0.0,0.0,0,normal,土地,其他,,無,,tp,信義區
30.25,87.41,3.0,2.0,1.0,1.0,2.121e7,242650.0,0.0,0.0,78.45,0.0,8.96,0,normal,房地(土地+建物),公寓(5樓含以下無電梯),住家用,無,,tp,松山區
0.31,32.77,0.0,0.0,0.0,1.0,2.35e6,71992.5,32.78,2.35e6,0.0,0.0,0.0,1,normal,車位,其他,,有,坡道平面,tp,信義區
5.05,45.48,1.0,1.0,1.0,1.0,1.12e7,246262.0,0.0,0.0,29.26,1.31,3.42,1,normal,房地(土地+建物),住宅大樓(11層含以上有電梯),其他,有,,tp,松山區
12.03,103.68,3.0,2.0,1.0,1.0,1.0e7,96451.0,0.0,0.0,83.97,0.0,10.27,1,normal,房地(土地+建物),華廈(10層含以下有電梯),住家用,有,,tp,北投區
3.5,0.0,0.0,0.0,0.0,1.0,221550.0,63300.0,0.0,0.0,0.0,0.0,0.0,0,normal,土地,其他,,無,,tp,大安區
15.2,0.0,0.0,0.0,0.0,1.0,1.278599e6,84118.0,0.0,0.0,0.0,0.0,0.0,0,normal,土地,其他,,無,,tp,大安區
284.08,0.0,0.0,0.0,0.0,1.0,7.856807e6,27657.0,0.0,0.0,0.0,0.0,0.0,0,normal,土地,其他,,無,,tp,大同區
12.0,0.0,0.0,0.0,0.0,1.0,600000.0,50000.0,0.0,0.0,0.0,0.0,0.0,0,normal,土地,其他,,無,,tp,大同區
12.82,0.0,0.0,0.0,0.0,1.0,220000.0,17161.0,0.0,0.0,0.0,0.0,0.0,0,normal,土地,其他,,無,,tp,萬華區
61.42,204.72,5.0,2.0,2.0,1.0,6.99e7,341442.0,0.0,0.0,127.68,3.03,15.26,1,normal,房地(土地+建物),華廈(10層含以下有電梯),住家用,有,,tp,中正區
7.02,37.7,1.0,1.0,1.0,1.0,9.0e6,238727.0,0.0,0.0,21.65,0.0,5.88,1,normal,房地(土地+建物),華廈(10層含以下有電梯),住家用,有,,tp,大安區
0.15,1.46,2.0,1.0,2.0,1.0,164085.0,111622.0,0.0,0.0,1.2,0.0,0.08,1,normal,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,有,,tp,大安區
1.48,27.08,0.0,0.0,0.0,1.0,1.5e6,71992.5,27.08,1.5e6,0.0,0.0,0.0,1,normal,車位,其他,見使用執照,無,坡道平面,tp,大安區
4.58,58.47,0.0,0.0,0.0,1.0,3.1e6,71992.5,58.47,3.1e6,0.0,0.0,0.0,1,normal,車位,其他,停車空間,有,坡道平面,tp,士林區
21.05,0.0,0.0,0.0,0.0,1.0,5.733e6,272352.0,0.0,0.0,0.0,0.0,0.0,0,normal,土地,其他,,無,,tp,北投區
10.45,106.87,1.0,1.0,1.0,1.0,9.0e6,84207.0,0.0,0.0,85.97,0.0,10.55,1,normal,房地(土地+建物)+車位,住宅大樓(11層含以上有電梯),住家用,有,坡道平面,tp,北投區
43.2,0.0,0.0,0.0,0.0,1.0,1.93536e6,44800.0,0.0,0.0,0.0,0.0,0.0,0,normal,土地,其他,,無,,tp,信義區
17.41,77.5,2.0,1.0,1.0,1.0,1.7e7,219355.0,0.0,0.0,46.05,1.56,6.31,1,normal,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,有,,tp,信義區
6.94,43.27,1.0,1.0,1.0,1.0,1.06e7,244973.0,0.0,0.0,26.69,0.0,7.96,1,normal,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,有,,tp,內湖區
54.94,286.28,4.0,2.0,2.0,1.0,3.45e7,144263.0,74.86,4.0e6,120.53,10.01,13.62,1,normal,房地(土地+建物)+車位,住宅大樓(11層含以上有電梯),住家用,有,坡道平面,tp,文山區
20.81,80.27,2.0,2.0,1.0,1.0,1.38e7,171920.0,0.0,0.0,42.45,17.19,5.76,1,normal,房地(土地+建物),華廈(10層含以下有電梯),住家用,有,,tp,文山區
1.75,67.28,2.0,1.0,1.0,1.0,5.5e6,81748.0,0.0,0.0,67.28,0.0,0.0,0,normal,房地(土地+建物),公寓(5樓含以下無電梯),住家用,無,,tp,萬華區
1.76,42.51,0.0,0.0,0.0,1.0,2.5e6,71992.5,42.51,2.5e6,0.0,0.0,0.0,1,normal,車位,其他,停車空間,有,坡道平面,tp,大安區
11.41,74.62,2.0,1.0,1.0,1.0,2.16e7,289467.0,0.0,0.0,57.41,2.72,2.1,1,normal,房地(土地+建物),華廈(10層含以下有電梯),住家用,有,,tp,大安區
31.75,0.0,0.0,0.0,0.0,1.0,671513.0,21150.0,0.0,0.0,0.0,0.0,0.0,0,normal,土地,其他,,無,,tp,士林區
0.54,31.34,0.0,0.0,0.0,1.0,2.5e6,71992.5,31.34,2.5e6,0.0,0.0,0.0,1,normal,車位,其他,見使用執照,有,坡道平面,tp,士林區
13.71,63.3,1.0,1.0,1.0,1.0,8.2e6,129542.0,0.0,0.0,31.88,6.04,4.79,0,normal,房地(土地+建物),公寓(5樓含以下無電梯),住家用,有,,tp,士林區
19.54,110.29,2.0,1.0,1.0,1.0,1.176e7,106628.0,39.88,0.0,41.44,0.0,5.02,1,normal,房地(土地+建物)+車位,華廈(10層含以下有電梯),住家用,無,升降平面,tp,士林區
109.16,0.0,0.0,0.0,0.0,1.0,3.487662e6,31950.0,0.0,0.0,0.0,0.0,0.0,0,normal,土地,其他,,無,,tp,北投區
25.77,161.39,4.0,2.0,2.0,1.0,2.96e7,183407.0,0.0,0.0,120.09,5.13,20.85,1,normal,房地(土地+建物),華廈(10層含以下有電梯),住家用,無,,tp,松山區
7.0,0.0,0.0,0.0,0.0,1.0,912800.0,130400.0,0.0,0.0,0.0,0.0,0.0,0,normal,土地,其他,,無,,tp,信義區
484.92,0.0,0.0,0.0,0.0,1.0,1.54e6,3176.0,0.0,0.0,0.0,0.0,0.0,0,normal,土地,其他,,無,,tp,內湖區
52.5,202.78,3.0,2.0,1.0,1.0,2.8e7,138081.0,0.0,0.0,202.78,0.0,0.0,0,normal,房地(土地+建物),公寓(5樓含以下無電梯),,無,,tp,中山區
52.5,202.78,0.0,0.0,0.0,0.0,6.5e7,320544.0,0.0,0.0,202.78,0.0,0.0,0,normal,房地(土地+建物),公寓(5樓含以下無電梯),,無,,tp,中山區
3.0,15.96,0.0,0.0,0.0,1.0,930000.0,71992.5,15.96,930000.0,0.0,0.0,0.0,1,normal,車位,其他,停車空間,有,坡道機械,tp,內湖區
12.0,0.0,0.0,0.0,0.0,1.0,642600.0,53550.0,0.0,0.0,0.0,0.0,0.0,0,normal,土地,其他,,無,,tp,中山區
6.22,35.25,1.0,1.0,1.0,1.0,4.1e6,116312.0,0.0,0.0,19.86,0.0,3.27,1,normal,房地(土地+建物),華廈(10層含以下有電梯),住家用,有,,tp,萬華區
9.95,143.88,2.0,2.0,1.0,1.0,2.3e7,159855.0,39.88,0.0,57.26,7.65,5.1,1,normal,房地(土地+建物)+車位,住宅大樓(11層含以上有電梯),住家用,有,坡道平面,tp,萬華區
