鄉鎮市區,交易標的,土地移轉總面積平方公尺,移轉層次,總樓層數,建物型態,主要用途,主要建材,建物移轉總面積平方公尺,建物現況格局.房,建物現況格局.廳,建物現況格局.衛,建物現況格局.隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積.平方公尺.,車位總價元,主建物面積,附屬建物面積,陽台面積,電梯
大安區,房地(土地+建物),0.15,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1.46,2,1,2,1,有,164085,111622,,0.0,0,1.2,0.0,0.08,1
大安區,車位,1.48,地下層,七層,其他,見使用執照,鋼筋混凝土造,27.08,0,0,0,1,無,1500000,,坡道平面,27.08,1500000,0.0,0.0,0.0,1
士林區,車位,4.58,地下二層,十二層,其他,停車空間,鋼筋混凝土造,58.47,0,0,0,1,有,3100000,,坡道平面,58.47,3100000,0.0,0.0,0.0,1
北投區,土地,21.05,,,其他,,,0.0,0,0,0,1,無,5733000,272352,,0.0,0,0.0,0.0,0.0,0
北投區,房地(土地+建物)+車位,10.45,九層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,106.87,1,1,1,1,有,9000000,84207,坡道平面,0.0,0,85.97,0.0,10.55,1
信義區,土地,43.2,,,其他,,,0.0,0,0,0,1,無,1935360,44800,,0.0,0,0.0,0.0,0.0,0
信義區,房地(土地+建物),17.41,七層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,77.5,2,1,1,1,有,17000000,219355,,0.0,0,46.05,1.56,6.31,1
內湖區,房地(土地+建物),6.94,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,43.27,1,1,1,1,有,10600000,244973,,0.0,0,26.69,0.0,7.96,1
文山區,房地(土地+建物)+車位,54.94,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,286.28,4,2,2,1,有,34500000,144263,坡道平面,74.86,4000000,120.53,10.01,13.62,1
文山區,房地(土地+建物),20.81,五層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,80.27,2,2,1,1,有,13800000,171920,,0.0,0,42.45,17.19,5.76,1
萬華區,房地(土地+建物),1.75,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,67.28,2,1,1,1,無,5500000,81748,,0.0,0,67.28,0.0,0.0,0
大安區,車位,1.76,地下三層,十四層,其他,停車空間,鋼骨鋼筋混凝土造,42.51,0,0,0,1,有,2500000,,坡道平面,42.51,2500000,0.0,0.0,0.0,1
大安區,房地(土地+建物),11.41,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,74.62,2,1,1,1,有,21600000,289467,,0.0,0,57.41,2.72,2.1,1
士林區,土地,31.75,,,其他,,,0.0,0,0,0,1,無,671513,21150,,0.0,0,0.0,0.0,0.0,0
士林區,車位,0.54,地下層,七層,其他,見使用執照,鋼筋混凝土造,31.34,0,0,0,1,有,2500000,,坡道平面,31.34,2500000,0.0,0.0,0.0,1
士林區,房地(土地+建物),13.71,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,63.3,1,1,1,1,有,8200000,129542,,0.0,0,31.88,6.04,4.79,0
士林區,房地(土地+建物)+車位,19.54,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,110.29,2,1,1,1,無,11760000,106628,升降平面,39.88,0,41.44,0.0,5.02,1
北投區,土地,109.16,,,其他,,,0.0,0,0,0,1,無,3487662,31950,,0.0,0,0.0,0.0,0.0,0
松山區,房地(土地+建物),25.77,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,161.39,4,2,2,1,無,29600000,183407,,0.0,0,120.09,5.13,20.85,1
信義區,土地,7.0,,,其他,,,0.0,0,0,0,1,無,912800,130400,,0.0,0,0.0,0.0,0.0,0
內湖區,土地,484.92,,,其他,,,0.0,0,0,0,1,無,1540000,3176,,0.0,0,0.0,0.0,0.0,0
中山區,房地(土地+建物),52.5,三層，四層,四層,公寓(5樓含以下無電梯),,加強磚造,202.78,3,2,1,1,無,28000000,138081,,0.0,0,202.78,0.0,0.0,0
中山區,房地(土地+建物),52.5,一層，騎樓,四層,公寓(5樓含以下無電梯),,加強磚造,202.78,0,0,0,0,無,65000000,320544,,0.0,0,202.78,0.0,0.0,0
內湖區,車位,3.0,地下二層,十一層,其他,停車空間,鋼筋混凝土造,15.96,0,0,0,1,有,930000,,坡道機械,15.96,930000,0.0,0.0,0.0,1
中山區,土地,12.0,,,其他,,,0.0,0,0,0,1,無,642600,53550,,0.0,0,0.0,0.0,0.0,0
萬華區,房地(土地+建物),6.22,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,35.25,1,1,1,1,有,4100000,116312,,0.0,0,19.86,0.0,3.27,1
